"rank","code","code_orig","count","source"
"110","kuntao","kuntao","3267","https://stats.lineageos.org/"
"111","dumpling","dumpling","3202","https://stats.lineageos.org/"
"112","android_x86_64","android_x86_64","3076","https://stats.lineageos.org/"
"113","manta","manta","3023","https://stats.lineageos.org/"
"114","rosy","rosy","3011","https://stats.lineageos.org/"
"115","ja3g","ja3gxx","2943","https://stats.lineageos.org/"
"116","polaris","polaris","2931","https://stats.lineageos.org/"
"117","santos103g","santos103g","2881","https://stats.lineageos.org/"
"118","Z00L","Z00L","2845","https://stats.lineageos.org/"
"119","Z00A","Z00A","2838","https://stats.lineageos.org/"
"120","n1awifi","n1awifi","2837","https://stats.lineageos.org/"
"121","ks01lte","ks01ltexx","2748","https://stats.lineageos.org/"
"122","marlin","marlin","2740","https://stats.lineageos.org/"
"123","thea","thea","2740","https://stats.lineageos.org/"
"124","s3ve3g","s3ve3g","2718","https://stats.lineageos.org/"
"125","dreamlte","dreamlte","2701","https://stats.lineageos.org/"
"126","hennessy","hennessy","2689","https://stats.lineageos.org/"
"127","kltedv","kltedv","2672","https://stats.lineageos.org/"
"128","cheeseburger","cheeseburger","2660","https://stats.lineageos.org/"
"129","payton","payton","2650","https://stats.lineageos.org/"
"130","v500","v500","2616","https://stats.lineageos.org/"
"131","gts210vewifi","gts210vewifi","2550","https://stats.lineageos.org/"
"132","kccat6","kccat6","2549","https://stats.lineageos.org/"
"133","nash","nash","2529","https://stats.lineageos.org/"
"134","enchilada","enchilada","2520","https://stats.lineageos.org/"
"135","serrano3g","serrano3gxx","2494","https://stats.lineageos.org/"
"136","pme","pme","2478","https://stats.lineageos.org/"
"137","a6000","a6000","2473","https://stats.lineageos.org/"
"138","axon7","axon7","2429","https://stats.lineageos.org/"
"139","Z00T","Z00T","2419","https://stats.lineageos.org/"
"140","klimtwifi","klimtwifi","2400","https://stats.lineageos.org/"
"141","armani","armani","2390","https://stats.lineageos.org/"
"142","deb","deb","2379","https://stats.lineageos.org/"
"143","m7","m7","2370","https://stats.lineageos.org/"
"144","jasmine","jasmine","2331","https://stats.lineageos.org/"
"145","on7xelte","on7xelte","2294","https://stats.lineageos.org/"
"146","kylepro","kyleproxx","2222","https://stats.lineageos.org/"
"147","hltetmo","hltetmo","2221","https://stats.lineageos.org/"
"148","sanders","sanders","2207","https://stats.lineageos.org/"
"149","FP2","FP2","2173","https://stats.lineageos.org/"
"150","klteduos","klteduos","2159","https://stats.lineageos.org/"
"151","ms013g","ms013g","2159","https://stats.lineageos.org/"
"152","h815","h815","2156","https://stats.lineageos.org/"
